Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tested
09/14/2020 12:00:00 AM,10305,116,141,1,2367
09/15/2020 12:00:00 AM,10414,109,142,1,1785
09/16/2020 12:00:00 AM,10521,107,143,1,1813
09/17/2020 12:00:00 AM,10618,97,144,1,1659
09/18/2020 12:00:00 AM,10723,105,145,1,1476
09/19/2020 12:00:00 AM,10793,70,148,3,837
09/20/2020 12:00:00 AM,10845,52,151,3,590
09/21/2020 12:00:00 AM,10959,114,151,0,2172
09/22/2020 12:00:00 AM,11079,120,152,1,2313
09/23/2020 12:00:00 AM,11190,111,155,3,1686
09/24/2020 12:00:00 AM,11318,128,155,0,1861
09/25/2020 12:00:00 AM,11443,125,157,2,1896
09/26/2020 12:00:00 AM,11517,74,158,1,1019
09/27/2020 12:00:00 AM,11556,39,158,0,736
09/28/2020 12:00:00 AM,11667,111,159,1,2518
09/29/2020 12:00:00 AM,11815,148,161,2,2531
09/30/2020 12:00:00 AM,11926,111,161,0,2211
10/01/2020 12:00:00 AM,12038,112,162,1,1975
10/02/2020 12:00:00 AM,12158,120,164,2,1886
10/03/2020 12:00:00 AM,12217,59,167,3,1096
10/04/2020 12:00:00 AM,12266,49,168,1,799
10/05/2020 12:00:00 AM,12412,146,170,2,2441
10/06/2020 12:00:00 AM,12570,158,172,2,2557
10/07/2020 12:00:00 AM,12715,145,177,5,2310
10/08/2020 12:00:00 AM,12865,150,179,2,2006
10/09/2020 12:00:00 AM,12999,134,182,3,2113
10/10/2020 12:00:00 AM,13064,65,184,2,969
10/11/2020 12:00:00 AM,13137,73,185,1,753
10/12/2020 12:00:00 AM,13313,176,186,1,2281
10/13/2020 12:00:00 AM,13460,147,187,1,1996
10/14/2020 12:00:00 AM,13579,119,188,1,1594
10/15/2020 12:00:00 AM,13708,129,190,2,1783
10/16/2020 12:00:00 AM,13810,102,196,6,1835
10/17/2020 12:00:00 AM,13873,63,197,1,955
10/18/2020 12:00:00 AM,13909,36,200,3,689
10/19/2020 12:00:00 AM,14069,160,202,2,2288
10/20/2020 12:00:00 AM,14204,135,205,3,2289
10/21/2020 12:00:00 AM,14316,112,210,5,1900
10/22/2020 12:00:00 AM,14474,158,213,3,1838
10/23/2020 12:00:00 AM,14615,141,214,1,1787
10/24/2020 12:00:00 AM,14724,109,216,2,820
10/25/2020 12:00:00 AM,14786,62,218,2,744
10/26/2020 12:00:00 AM,14945,159,219,1,2061
10/27/2020 12:00:00 AM,15168,223,221,2,2418
10/28/2020 12:00:00 AM,15376,208,225,4,1792
10/29/2020 12:00:00 AM,15581,205,228,3,2241
10/30/2020 12:00:00 AM,15783,202,232,4,2202
10/31/2020 12:00:00 AM,15923,140,232,0,1127
11/01/2020 12:00:00 AM,16029,106,237,5,798
11/02/2020 12:00:00 AM,16338,309,242,5,2740
11/03/2020 12:00:00 AM,16590,252,245,3,2143
11/04/2020 12:00:00 AM,16982,392,248,3,2414
11/05/2020 12:00:00 AM,17393,411,251,3,2227
11/06/2020 12:00:00 AM,17694,301,258,7,2043
11/07/2020 12:00:00 AM,17901,207,262,4,1193
11/08/2020 12:00:00 AM,18048,147,263,1,706
11/09/2020 12:00:00 AM,18431,383,267,4,2197
11/10/2020 12:00:00 AM,18765,334,272,5,2406
11/11/2020 12:00:00 AM,19101,336,274,2,1931
11/12/2020 12:00:00 AM,19470,369,276,2,2414
11/13/2020 12:00:00 AM,19741,271,279,3,2093
11/14/2020 12:00:00 AM,19942,201,282,3,1411
11/15/2020 12:00:00 AM,20091,149,282,0,974
11/16/2020 12:00:00 AM,20455,364,283,1,3030
11/17/2020 12:00:00 AM,20822,367,284,1,2972
11/18/2020 12:00:00 AM,21139,317,288,4,2698
11/19/2020 12:00:00 AM,21470,331,292,4,3055
11/20/2020 12:00:00 AM,21751,281,293,1,2602
11/21/2020 12:00:00 AM,21892,141,298,5,1272
11/22/2020 12:00:00 AM,22002,110,300,2,871
11/23/2020 12:00:00 AM,22375,373,305,5,2974
11/24/2020 12:00:00 AM,22695,320,309,4,3025
11/25/2020 12:00:00 AM,22959,264,310,1,2347
11/26/2020 12:00:00 AM,23010,51,312,2,386
11/27/2020 12:00:00 AM,23232,222,315,3,1801
11/28/2020 12:00:00 AM,23403,171,317,2,957
11/29/2020 12:00:00 AM,23513,110,321,4,809
11/30/2020 12:00:00 AM,23919,406,327,6,2853
12/01/2020 12:00:00 AM,24231,312,331,4,2817
12/02/2020 12:00:00 AM,24564,333,332,1,2617
12/03/2020 12:00:00 AM,24891,327,337,5,2673
12/04/2020 12:00:00 AM,25138,247,339,2,2609
12/05/2020 12:00:00 AM,25304,166,341,2,1381
12/06/2020 12:00:00 AM,25417,113,345,4,906
12/07/2020 12:00:00 AM,25758,341,347,2,3195
12/08/2020 12:00:00 AM,26108,350,349,2,2911
12/09/2020 12:00:00 AM,26358,250,350,1,2182
12/10/2020 12:00:00 AM,26591,233,352,2,2389
12/11/2020 12:00:00 AM,26823,232,353,1,2218
12/12/2020 12:00:00 AM,26947,124,354,1,1005
12/13/2020 12:00:00 AM,27059,112,356,2,837
12/14/2020 12:00:00 AM,27365,306,360,4,3245
12/15/2020 12:00:00 AM,27592,227,362,2,2602
12/16/2020 12:00:00 AM,27850,258,364,2,2379
12/17/2020 12:00:00 AM,28086,236,368,4,2613
12/18/2020 12:00:00 AM,28334,248,370,2,2515
12/19/2020 12:00:00 AM,28467,133,374,4,1262
12/20/2020 12:00:00 AM,28589,122,375,1,1067
12/21/2020 12:00:00 AM,28900,311,380,5,3471
12/22/2020 12:00:00 AM,29173,273,382,2,2430
12/23/2020 12:00:00 AM,29388,215,384,2,2496
12/24/2020 12:00:00 AM,29575,187,389,5,1502
12/25/2020 12:00:00 AM,29617,42,394,5,336
12/26/2020 12:00:00 AM,29779,162,394,0,1212
12/27/2020 12:00:00 AM,29904,125,397,3,935
12/28/2020 12:00:00 AM,30304,400,402,5,3026
12/29/2020 12:00:00 AM,30623,319,405,3,2076
12/30/2020 12:00:00 AM,30989,366,406,1,2578
12/31/2020 12:00:00 AM,31199,210,412,6,1643
01/01/2021 12:00:00 AM,31247,48,417,5,494
01/02/2021 12:00:00 AM,31426,179,419,2,1145
01/03/2021 12:00:00 AM,31601,175,420,1,1039
01/04/2021 12:00:00 AM,32004,403,423,3,2968
01/05/2021 12:00:00 AM,32316,312,426,3,2724
01/06/2021 12:00:00 AM,32598,282,429,3,2629
01/07/2021 12:00:00 AM,32858,260,433,4,2144
01/08/2021 12:00:00 AM,33112,254,436,3,2217
01/09/2021 12:00:00 AM,33215,103,440,4,1030
01/10/2021 12:00:00 AM,33327,112,444,4,885
01/11/2021 12:00:00 AM,33605,278,446,2,2965
01/12/2021 12:00:00 AM,33778,173,446,0,2567
01/13/2021 12:00:00 AM,33981,203,450,4,2546
01/14/2021 12:00:00 AM,34192,211,455,5,2518
01/15/2021 12:00:00 AM,34322,130,459,4,1800
01/16/2021 12:00:00 AM,34418,96,465,6,1178
01/17/2021 12:00:00 AM,34483,65,467,2,883
01/18/2021 12:00:00 AM,34627,144,475,8,2364
01/19/2021 12:00:00 AM,34795,168,478,3,2336
01/20/2021 12:00:00 AM,34945,150,482,4,2123
01/21/2021 12:00:00 AM,35065,120,485,3,1994
01/22/2021 12:00:00 AM,35184,119,491,6,1918
01/23/2021 12:00:00 AM,35249,65,496,5,1002
01/24/2021 12:00:00 AM,35297,48,497,1,712
01/25/2021 12:00:00 AM,35434,137,497,0,2444
01/26/2021 12:00:00 AM,35576,142,500,3,2159
01/27/2021 12:00:00 AM,35679,103,503,3,2098
01/28/2021 12:00:00 AM,35767,88,505,2,1728
01/29/2021 12:00:00 AM,35875,108,507,2,1895
01/30/2021 12:00:00 AM,35938,63,507,0,861
01/31/2021 12:00:00 AM,35984,46,508,1,758
02/01/2021 12:00:00 AM,36101,117,511,3,2616
02/02/2021 12:00:00 AM,36180,79,512,1,1881
02/03/2021 12:00:00 AM,36280,100,512,0,2029
02/04/2021 12:00:00 AM,36351,71,516,4,1586
02/05/2021 12:00:00 AM,36435,84,517,1,1570
02/06/2021 12:00:00 AM,36484,49,518,1,736
02/07/2021 12:00:00 AM,36512,28,521,3,596
02/08/2021 12:00:00 AM,36574,62,521,0,1985
02/09/2021 12:00:00 AM,36613,39,525,4,1658
02/10/2021 12:00:00 AM,36661,48,526,1,1512
02/11/2021 12:00:00 AM,36711,50,528,2,1165
02/12/2021 12:00:00 AM,36760,49,528,0,1295
02/13/2021 12:00:00 AM,36787,27,532,4,465
02/14/2021 12:00:00 AM,36816,29,532,0,444
02/15/2021 12:00:00 AM,36851,35,532,0,1373
02/16/2021 12:00:00 AM,36899,48,534,2,1131
02/17/2021 12:00:00 AM,36938,39,535,1,1485
02/18/2021 12:00:00 AM,36990,52,537,2,1039
02/19/2021 12:00:00 AM,37032,42,541,4,1044
02/20/2021 12:00:00 AM,37055,23,544,3,513
02/21/2021 12:00:00 AM,37077,22,545,1,466
02/22/2021 12:00:00 AM,37121,44,547,2,1690
02/23/2021 12:00:00 AM,37154,33,549,2,1297
02/24/2021 12:00:00 AM,37194,40,550,1,1451
02/25/2021 12:00:00 AM,37236,42,552,2,1058
02/26/2021 12:00:00 AM,37272,36,552,0,1087
02/27/2021 12:00:00 AM,37291,19,553,1,469
02/28/2021 12:00:00 AM,37308,17,553,0,502
03/01/2021 12:00:00 AM,37339,31,554,1,1824
03/02/2021 12:00:00 AM,37369,30,554,0,1284
03/03/2021 12:00:00 AM,37401,32,557,3,1442
03/04/2021 12:00:00 AM,37424,23,558,1,958
03/05/2021 12:00:00 AM,37457,33,558,0,1123
03/06/2021 12:00:00 AM,37482,25,558,0,459
03/07/2021 12:00:00 AM,37496,14,558,0,474
03/08/2021 12:00:00 AM,37550,54,563,5,1954
03/09/2021 12:00:00 AM,37576,26,563,0,1308
03/10/2021 12:00:00 AM,37616,40,564,1,1165
